MPG,Cylinders,Displacement,Origin,Weight,Acceleration,Model Year,Horsepower
18.0,8,307.0,USA,3504.0,12.0,70,130.0
15.0,8,350.0,USA,3693.0,11.5,70,165.0
18.0,8,318.0,USA,3436.0,11.0,70,150.0
16.0,8,304.0,USA,3433.0,12.0,70,150.0
17.0,8,302.0,USA,3449.0,10.5,70,140.0
15.0,8,429.0,USA,4341.0,10.0,70,198.0
14.0,8,454.0,USA,4354.0,9.0,70,220.0
14.0,8,440.0,USA,4312.0,8.5,70,215.0
14.0,8,455.0,USA,4425.0,10.0,70,225.0
15.0,8,390.0,USA,3850.0,8.5,70,190.0
15.0,8,383.0,USA,3563.0,10.0,70,170.0
14.0,8,340.0,USA,3609.0,8.0,70,160.0
15.0,8,400.0,USA,3761.0,9.5,70,150.0
14.0,8,455.0,USA,3086.0,10.0,70,225.0
24.0,4,113.0,Japan,2372.0,15.0,70,95.0
22.0,6,198.0,USA,2833.0,15.5,70,95.0
18.0,6,199.0,USA,2774.0,15.5,70,97.0
21.0,6,200.0,USA,2587.0,16.0,70,85.0
27.0,4,97.0,Japan,2130.0,14.5,70,88.0
26.0,4,97.0,Europe,1835.0,20.5,70,46.0
25.0,4,110.0,Europe,2672.0,17.5,70,87.0
24.0,4,107.0,Europe,2430.0,14.5,70,90.0
25.0,4,104.0,Europe,2375.0,17.5,70,95.0
26.0,4,121.0,Europe,2234.0,12.5,70,113.0
21.0,6,199.0,USA,2648.0,15.0,70,90.0
10.0,8,360.0,USA,4615.0,14.0,70,215.0
10.0,8,307.0,USA,4376.0,15.0,70,200.0
11.0,8,318.0,USA,4382.0,13.5,70,210.0
9.0,8,304.0,USA,4732.0,18.5,70,193.0
27.0,4,97.0,Japan,2130.0,14.5,71,88.0
28.0,4,140.0,USA,2264.0,15.5,71,90.0
25.0,4,113.0,Japan,2228.0,14.0,71,95.0
25.0,4,98.0,USA,2046.0,19.0,71,
19.0,6,232.0,USA,2634.0,13.0,71,100.0
16.0,6,225.0,USA,3439.0,15.5,71,105.0
17.0,6,250.0,USA,3329.0,15.5,71,100.0
19.0,6,250.0,USA,3302.0,15.5,71,88.0
18.0,6,232.0,USA,3288.0,15.5,71,100.0
14.0,8,350.0,USA,4209.0,12.0,71,165.0
14.0,8,400.0,USA,4464.0,11.5,71,175.0
14.0,8,351.0,USA,4154.0,13.5,71,153.0
14.0,8,318.0,USA,4096.0,13.0,71,150.0
12.0,8,383.0,USA,4955.0,11.5,71,180.0
13.0,8,400.0,USA,4746.0,12.0,71,170.0
